"ENTITY_CD","ENTITY_NAME","YEAR","NUM_ELL","PER_ELL","NUM_AM_IND","PER_AM_IND","NUM_BLACK","PER_BLACK","NUM_HISP","PER_HISP","NUM_ASIAN","PER_ASIAN","NUM_WHITE","PER_WHITE","NUM_Multi","PER_Multi","NUM_SWD","PER_SWD","NUM_FEMALE","PER_FEMALE","NUM_MALE","PER_MALE","NUM_ECDIS","PER_ECDIS","NUM_MIGRANT","PER_MIGRANT","NUM_HOMELESS","PER_HOMELESS","NUM_FOSTER","PER_FOSTER","NUM_ARMED","PER_ARMED"
"540801040000","GILBOA-CONESVILLE CENTRAL SCHOOL DISTRICT","2018","0","0","0","0","4","1","5","2","3","1","286","94","7","2",59,19,150,49,155,51,186,61,0,0,0,0,0,0,0,0
"540801040001","GILBOA-CONESVILLE CENTRAL SCHOOL","2018","0","0","0","0","4","1","5","2","3","1","286","94","7","2",59,19,150,49,155,51,186,61,0,0,0,0,0,0,0,0
"540901040000","JEFFERSON CENTRAL SCHOOL DISTRICT","2018","0","0","0","0","0","0","4","2","0","0","212","97","3","1",33,15,96,44,123,56,132,60,0,0,0,0,0,0,0,0
"540901040001","JEFFERSON CENTRAL SCHOOL","2018","0","0","0","0","0","0","4","2","0","0","212","97","3","1",33,15,96,44,123,56,132,60,0,0,0,0,0,0,0,0
"541001040000","MIDDLEBURGH CENTRAL SCHOOL DISTRICT","2018","4","1","0","0","6","1","7","1","6","1","686","97","3","0",116,16,374,53,334,47,389,55,0,0,3,0,2,0,0,0
"541001040001","MIDDLEBURGH JUNIOR/SENIOR HIGH SCHOOL","2018","1","0","0","0","4","1","4","1","3","1","339","96","3","1",46,13,191,54,162,46,177,50,0,0,3,1,2,1,0,0
"541001040002","MIDDLEBURGH ELEMENTARY SCHOOL","2018","3","1","0","0","2","1","3","1","3","1","347","98","0","0",70,20,183,52,172,48,212,60,0,0,0,0,0,0,0,0
"541102060000","COBLESKILL-RICHMONDVILLE CENTRAL SCHOOL DISTRICT","2018","5","0","4","0","24","1","94","6","14","1","1528","90","25","1",233,14,812,48,877,52,875,52,2,0,7,0,9,1,2,0
"541102060001","GEORGE D RYDER ELEMENTARY SCHOOL","2018","2","1","0","0","7","2","27","8","2","1","314","88","7","2",40,11,168,47,189,53,183,51,0,0,0,0,2,1,1,0
"541102060002","COBLESKILL-RICHMONDVILLE HIGH SCHOOL","2018","0","0","0","0","8","1","30","5","6","1","513","91","8","1",91,16,280,50,285,50,258,46,2,0,3,1,1,0,0,0
"541102060004","WILLIAM H GOLDING MIDDLE SCHOOL","2018","0","0","2","1","6","2","15","4","2","1","356","92","6","2",52,13,188,49,199,51,206,53,0,0,1,0,2,1,1,0
"541102060005","JOSEPH B RADEZ ELEMENTARY SCHOOL","2018","3","1","2","1","3","1","22","6","4","1","345","91","4","1",50,13,176,46,204,54,228,60,0,0,3,1,4,1,0,0
"541201040000","SCHOHARIE CENTRAL SCHOOL DISTRICT","2018","0","0","0","0","4","0","14","2","1","0","841","95","23","3",136,15,427,48,456,52,453,51,0,0,8,1,5,1,0,0
"541201040002","SCHOHARIE ELEMENTARY SCHOOL","2018","0","0","0","0","3","1","12","2","0","0","463","95","9","2",72,15,222,46,265,54,266,55,0,0,4,1,4,1,0,0
"541201040003","SCHOHARIE HIGH SCHOOL","2018","0","0","0","0","1","0","2","1","1","0","378","95","14","4",64,16,205,52,191,48,187,47,0,0,4,1,1,0,0,0
"541401040000","SHARON SPRINGS CENTRAL SCHOOL DISTRICT","2018","2","1","0","0","4","2","9","4","3","1","220","92","3","1",35,15,110,46,129,54,150,63,1,0,0,0,0,0,0,0
"541401040001","SHARON SPRINGS CENTRAL SCHOOL","2018","2","1","0","0","4","2","9","4","3","1","220","92","3","1",35,15,110,46,129,54,150,63,1,0,0,0,0,0,0,0
"550101040000","ODESSA-MONTOUR CENTRAL SCHOOL DISTRICT","2018","1","0","2","0","2","0","13","2","6","1","689","93","26","4",119,16,352,48,386,52,403,55,0,0,20,3,0,0,0,0
"550101040001","B C CATE ELEMENTARY SCHOOL","2018","0","0","1","1","0","0","5","3","0","0","162","93","6","3",24,14,74,43,100,57,110,63,0,0,2,1,0,0,0,0
