"ENTITY_CD","ENTITY_NAME","YEAR","NUM_FREE_LUNCH","PER_FREE_LUNCH","NUM_REDUCED_LUNCH","PER_REDUCED_LUNCH"
"010623060003","BOGHT HILLS SCHOOL","2016","64","12","12","2"
"010623060004","FORTS FERRY SCHOOL","2016","90","20","15","3"
"010623060006","LATHAM RIDGE SCHOOL","2016","87","19","23","5"
"010623060007","LOUDONVILLE SCHOOL","2016","15","5","7","2"
"010623060008","SOUTHGATE SCHOOL","2016","53","13","9","2"
"010623060009","SHAKER JUNIOR HIGH SCHOOL","2016","124","14","26","3"
"010623060010","SHAKER HIGH SCHOOL","2016","253","13","52","3"
"010701030000","GREEN ISLAND UNION FREE SCHOOL DISTRICT","2016","161","50","44","14"
"010701030001","HEATLY SCHOOL","2016","161","50","44","14"
"010802060000","GUILDERLAND CENTRAL SCHOOL DISTRICT","2016","675","14","131","3"
"010802060001","ALTAMONT ELEMENTARY SCHOOL","2016","81","29","11","4"
"010802060003","GUILDERLAND ELEMENTARY SCHOOL","2016","71","14","18","3"
"010802060004","WESTMERE ELEMENTARY SCHOOL","2016","88","19","15","3"
"010802060005","GUILDERLAND HIGH SCHOOL","2016","192","12","36","2"
"010802060007","LYNNWOOD ELEMENTARY SCHOOL","2016","58","15","8","2"
"010802060008","FARNSWORTH MIDDLE SCHOOL","2016","161","14","38","3"
"010802060009","PINE BUSH ELEMENTARY SCHOOL","2016","24","6","5","1"
"011003060000","VOORHEESVILLE CENTRAL SCHOOL DISTRICT","2016","91","8","20","2"
"011003060001","VOORHEESVILLE ELEMENTARY SCHOOL","2016","43","9","8","2"
"011003060002","CLAYTON A BOUTON HIGH SCHOOL","2016","31","8","7","2"
"011003060003","VOORHEESVILLE MIDDLE SCHOOL","2016","17","6","5","2"
"011200010000","WATERVLIET CITY SCHOOL DISTRICT","2016","732","58","154","12"
"011200010002","WATERVLIET ELEMENTARY SCHOOL","2016","419","62","84","12"
"011200010010","WATERVLIET JUNIOR-SENIOR HIGH SCHOOL","2016","313","54","70","12"
"020101040000","ALFRED-ALMOND CENTRAL SCHOOL DISTRICT","2016","234","37","24","4"
"020101040001","ALFRED-ALMOND ELEMENTARY SCHOOL","2016","142","43","9","3"
"020101040002","ALFRED-ALMOND JUNIOR-SENIOR HIGH SCHOOL","2016","92","31","15","5"
"020601040000","ANDOVER CENTRAL SCHOOL DISTRICT","2016","112","37","42","14"
"020601040001","ANDOVER SCHOOL","2016","112","37","42","14"
"020702040000","GENESEE VALLEY CENTRAL SCHOOL DISTRICT","2016","242","46","39","7"
"020702040001","GENESEE VALLEY CENTRAL SCHOOL","2016","242","46","39","7"
"020801040000","BELFAST CENTRAL SCHOOL DISTRICT","2016","163","48","27","8"
"020801040001","BELFAST SCHOOL","2016","163","48","27","8"
"021102040000","CANASERAGA CENTRAL SCHOOL DISTRICT","2016","121","49","17","7"
"021102040001","CANASERAGA SCHOOL","2016","121","49","17","7"
"021601040000","FRIENDSHIP CENTRAL SCHOOL DISTRICT","2016","210","63","17","5"
"021601040004","FRIENDSHIP CENTRAL SCHOOL","2016","210","63","17","5"
"022001040000","FILLMORE CENTRAL SCHOOL DISTRICT","2016","270","44","60","10"
"022001040001","FILLMORE CENTRAL SCHOOL","2016","270","44","60","10"
"022101040000","WHITESVILLE CENTRAL SCHOOL DISTRICT","2016","97","41","34","14"
"022101040001","WHITESVILLE CENTRAL SCHOOL","2016","97","41","34","14"
"022302040000","CUBA-RUSHFORD CENTRAL SCHOOL DISTRICT","2016","355","45","58","7"
"022302040001","CUBA-RUSHFORD HIGH SCHOOL","2016","96","37","16","6"
"022302040002","CUBA-RUSHFORD ELEMENTARY SCHOOL","2016","175","53","20","6"
"022302040004","CUBA-RUSHFORD MIDDLE SCHOOL","2016","84","41","22","11"
"022401040000","SCIO CENTRAL SCHOOL DISTRICT","2016","166","53","36","11"
"022401040003","SCIO CENTRAL SCHOOL","2016","166","53","36","11"
"022601060000","WELLSVILLE CENTRAL SCHOOL DISTRICT","2016","556","45","90","7"
"022601060002","WELLSVILLE MIDDLE SCHOOL","2016","113","42","25","9"
"022601060004","WELLSVILLE SENIOR HIGH SCHOOL","2016","161","37","26","6"
"022601060005","WELLSVILLE ELEMENTARY SCHOOL","2016","282","54","39","7"
"022902040000","BOLIVAR-RICHBURG CENTRAL SCHOOL DISTRICT","2016","387","51","93","12"
"022902040001","BOLIVAR-RICHBURG JUNIOR-SENIOR HIGH SCHOOL","2016","189","45","56","13"
"022902040002","BOLIVAR-RICHBURG ELEMENTARY SCHOOL","2016","198","58","37","11"
"030101060000","CHENANGO FORKS CENTRAL SCHOOL DISTRICT","2016","459","32","113","8"
"030101060001","CHENANGO FORKS ELEMENTARY SCHOOL","2016","229","36","51","8"
"030101060003","CHENANGO FORKS HIGH SCHOOL","2016","129","27","36","7"
"030101060004","CHENANGO FORKS MIDDLE SCHOOL","2016","101","29","26","7"
"030200010000","BINGHAMTON CITY SCHOOL DISTRICT","2016","3595","65","120","2"
"030200010002","CALVIN COOLIDGE SCHOOL","2016","189","63","6","2"
"030200010005","BENJAMIN FRANKLIN ELEMENTARY SCHOOL","2016","380","76","15","3"
"030200010008","THOMAS JEFFERSON SCHOOL","2016","156","50","8","3"
"030200010011","MACARTHUR SCHOOL","2016","231","57","12","3"
"030200010012","THEODORE ROOSEVELT SCHOOL","2016","341","80","6","1"
"030200010014","WOODROW WILSON SCHOOL","2016","327","76","10","2"
"030200010015","EAST MIDDLE SCHOOL","2016","430","73","9","2"
"030200010016","WEST MIDDLE SCHOOL","2016","364","61","15","3"
"030200010021","BINGHAMTON HIGH SCHOOL","2016","950","59","36","2"
"030200010022","HORACE MANN SCHOOL","2016","227","72","3","1"
"030501040000","HARPURSVILLE CENTRAL SCHOOL DISTRICT","2016","414","54","61","8"
